0;0;0;0;land;false;unknown;0
1;199;106;202;land;false;plains;1
2;151;236;245;land;false;desert;1
3;146;235;151;land;false;mountain;1
4;221;64;243;land;false;desert;1
5;160;239;178;land;false;desert;1
6;189;218;235;land;false;desert;1
7;63;231;227;land;false;desert;1
8;230;43;250;land;false;forest;1
9;251;219;243;land;false;desert;1
10;191;252;106;land;false;desert;1
11;214;233;235;land;false;forest;1
12;128;206;194;land;false;desert;1
13;209;197;139;land;false;plains;1
14;226;91;249;land;false;desert;1
15;203;145;168;land;false;desert;1
16;164;99;251;land;false;plains;1
17;212;150;186;land;false;desert;1
18;220;250;229;land;false;forest;1
19;234;215;212;land;false;plains;1
20;212;119;178;land;false;plains;1
21;248;152;181;land;false;desert;1
22;164;199;142;land;false;plains;1
23;101;249;185;land;false;plains;1
24;246;234;158;land;false;desert;1
25;127;249;189;land;false;hills;1
26;79;243;215;land;false;desert;1
27;222;246;41;land;false;desert;1
28;78;219;246;land;false;desert;1
29;228;131;160;land;false;plains;1
30;53;230;250;land;false;plains;1
31;174;183;216;land;false;forest;1
32;191;176;191;land;false;desert;1
33;250;153;224;land;false;desert;1
34;154;210;243;land;false;desert;1
35;234;187;111;land;false;desert;1
36;70;224;238;land;false;plains;1
37;122;220;221;land;false;desert;1
38;81;237;213;land;false;mountain;1
39;85;227;246;land;false;plains;1
40;183;171;248;land;false;desert;1
41;137;219;244;land;false;mountain;1
42;142;150;225;land;false;plains;1
43;183;238;148;land;false;desert;1
44;224;161;236;land;false;plains;1
45;215;80;221;land;false;desert;1
46;197;208;197;land;false;desert;1
47;244;224;94;land;false;plains;1
48;170;238;165;land;false;desert;1
49;206;223;220;land;false;jungle;1
50;193;224;209;land;false;desert;1
51;241;104;199;land;false;plains;1
52;240;42;229;land;false;plains;1
53;104;223;240;land;false;forest;1
54;240;163;241;land;false;plains;1
55;241;194;108;land;false;desert;1
56;244;215;106;land;false;plains;1
57;220;230;96;land;false;desert;1
58;216;123;201;land;false;plains;1
59;204;139;170;land;false;plains;1
60;125;246;209;land;false;plains;1
61;90;196;237;land;false;desert;1
62;236;235;126;land;false;mountain;1
63;127;209;216;land;false;desert;1
64;172;254;231;land;false;forest;1
65;219;251;156;land;false;desert;1
66;146;246;165;land;false;desert;1
67;247;103;162;land;false;desert;1
68;247;216;158;land;false;forest;1
69;234;216;179;land;false;plains;1
70;171;228;172;land;false;hills;1
71;173;173;193;land;false;desert;1
72;224;60;234;land;false;forest;1
73;101;236;190;land;false;plains;1
74;249;234;53;land;false;desert;1
75;104;251;219;land;false;forest;1
76;220;167;135;land;false;desert;1
77;243;127;230;land;false;forest;1
78;231;73;235;land;false;plains;1
79;159;161;240;land;false;hills;1
80;88;246;191;land;false;plains;1
81;198;169;199;land;false;plains;1
82;250;178;104;land;false;desert;1
83;124;251;183;land;false;desert;1
84;207;199;242;land;false;desert;1
85;230;133;188;land;false;jungle;1
86;223;197;152;land;false;jungle;1
87;249;194;238;land;false;forest;1
88;114;167;230;land;false;desert;1
89;114;227;242;land;false;mountain;1
90;238;234;121;land;false;desert;1
91;252;186;147;land;false;desert;1
92;135;174;240;land;false;desert;1
93;185;175;176;land;false;forest;1
94;253;219;246;land;false;plains;1
95;228;148;135;land;false;plains;1
96;120;250;134;land;false;desert;1
97;238;153;240;land;false;forest;1
98;243;197;125;land;false;forest;1
99;204;247;111;land;false;desert;1
100;142;123;244;land;false;forest;1
101;201;246;244;land;false;desert;1
102;45;244;241;land;false;desert;1
103;215;206;122;land;false;mountain;1
104;203;219;96;land;false;desert;1
